numInitialJobs,queueServiceTime,numTandems,numQueues,queueDelay,switchDelay,communication,numPartitions,cmdline,simulated_time,elapsed_seconds,events_simulated,ev-per-sec,seq-ev-per-sec,speedup
2,exponential(10s),120,10,1s,1s,mt-mem-msgptrpassing,13,"['../cqn_dbg', '-s', '-n..', '-u', 'Cmdenv', '-f', 'omnetpp.ini', '-f', 'partitioning.ini', '--real-time-limit=10s', '--**.numInitialJobs=2', '--**.serviceTime=exponential(10s)', '--*.numTandems=120', '--**.numQueues=10', '--**.qDelay=1s', '--**.sDelay=1s', '--multithreaded-parallel-simulation=true', '--parsim-communications-class=cMultithreadedCommunications', '--parsim-multithreaded-comm-send-pointers=true', '-f', 'cqn-120-partitioning.ini', '-c', 'Cqn-120-13']",66841.51911265338,10.153,11106739.0,1093936.668964838,446067.58648270345,2.452401165461629
2,exponential(10s),120,10,1s,1s,mt-mem-msgptrpassing,14,"['../cqn_dbg', '-s', '-n..', '-u', 'Cmdenv', '-f', 'omnetpp.ini', '-f', 'partitioning.ini', '--real-time-limit=10s', '--**.numInitialJobs=2', '--**.serviceTime=exponential(10s)', '--*.numTandems=120', '--**.numQueues=10', '--**.qDelay=1s', '--**.sDelay=1s', '--multithreaded-parallel-simulation=true', '--parsim-communications-class=cMultithreadedCommunications', '--parsim-multithreaded-comm-send-pointers=true', '-f', 'cqn-120-partitioning.ini', '-c', 'Cqn-120-14']",66970.3686293888,10.0449,11126970.0,1107723.3222829495,446067.58648270345,2.4833082605653574
2,exponential(10s),120,10,1s,1s,mt-mem-msgptrpassing,15,"['../cqn_dbg', '-s', '-n..', '-u', 'Cmdenv', '-f', 'omnetpp.ini', '-f', 'partitioning.ini', '--real-time-limit=10s', '--**.numInitialJobs=2', '--**.serviceTime=exponential(10s)', '--*.numTandems=120', '--**.numQueues=10', '--**.qDelay=1s', '--**.sDelay=1s', '--multithreaded-parallel-simulation=true', '--parsim-communications-class=cMultithreadedCommunications', '--parsim-multithreaded-comm-send-pointers=true', '-f', 'cqn-120-partitioning.ini', '-c', 'Cqn-120-15']",70290.82316962695,10.0011,11690662.0,1168937.6168621453,446067.58648270345,2.6205392462594266
2,exponential(10s),120,10,1s,1s,mt-mem-msgptrpassing,16,"['../cqn_dbg', '-s', '-n..', '-u', 'Cmdenv', '-f', 'omnetpp.ini', '-f', 'partitioning.ini', '--real-time-limit=10s', '--**.numInitialJobs=2', '--**.serviceTime=exponential(10s)', '--*.numTandems=120', '--**.numQueues=10', '--**.qDelay=1s', '--**.sDelay=1s', '--multithreaded-parallel-simulation=true', '--parsim-communications-class=cMultithreadedCommunications', '--parsim-multithreaded-comm-send-pointers=true', '-f', 'cqn-120-partitioning.ini', '-c', 'Cqn-120-16']",66167.57041755143,10.0033,10992630.0,1098900.3628802495,446067.58648270345,2.463528837737821
2,exponential(10s),120,10,1s,1s,mt-np,2,"['../cqn_dbg', '-s', '-n..', '-u', 'Cmdenv', '-f', 'omnetpp.ini', '-f', 'partitioning.ini', '--real-time-limit=10s', '--**.numInitialJobs=2', '--**.serviceTime=exponential(10s)', '--*.numTandems=120', '--**.numQueues=10', '--**.qDelay=1s', '--**.sDelay=1s', '--multithreaded-parallel-simulation=true', '--parsim-communications-class=cNamedPipeCommunications', '-f', 'cqn-120-partitioning.ini', '-c', 'Cqn-120-2']",44625.823839834426,10.0013,7398257.0,739729.5351604291,446067.58648270345,1.65833509893262
2,exponential(10s),120,10,1s,1s,mt-np,3,"['../cqn_dbg', '-s', '-n..', '-u', 'Cmdenv', '-f', 'omnetpp.ini', '-f', 'partitioning.ini', '--real-time-limit=10s', '--**.numInitialJobs=2', '--**.serviceTime=exponential(10s)', '--*.numTandems=120', '--**.numQueues=10', '--**.qDelay=1s', '--**.sDelay=1s', '--multithreaded-parallel-simulation=true', '--parsim-communications-class=cNamedPipeCommunications', '-f', 'cqn-120-partitioning.ini', '-c', 'Cqn-120-3']",54153.23372663401,10.0015,8987362.0,898601.4097885317,446067.58648270345,2.014496092114901
2,exponential(10s),120,10,1s,1s,mt-np,4,"['../cqn_dbg', '-s', '-n..', '-u', 'Cmdenv', '-f', 'omnetpp.ini', '-f', 'partitioning.ini', '--real-time-limit=10s', '--**.numInitialJobs=2', '--**.serviceTime=exponential(10s)', '--*.numTandems=120', '--**.numQueues=10', '--**.qDelay=1s', '--**.sDelay=1s', '--multithreaded-parallel-simulation=true', '--parsim-communications-class=cNamedPipeCommunications', '-f', 'cqn-120-partitioning.ini', '-c', 'Cqn-120-4']",60290.59455886116,10.0101,10007085.0,999698.8042077502,446067.58648270345,2.2411375192949916
2,exponential(10s),120,10,1s,1s,mt-np,5,"['../cqn_dbg', '-s', '-n..', '-u', 'Cmdenv', '-f', 'omnetpp.ini', '-f', 'partitioning.ini', '--real-time-limit=10s', '--**.numInitialJobs=2', '--**.serviceTime=exponential(10s)', '--*.numTandems=120', '--**.numQueues=10', '--**.qDelay=1s', '--**.sDelay=1s', '--multithreaded-parallel-simulation=true', '--parsim-communications-class=cNamedPipeCommunications', '-f', 'cqn-120-partitioning.ini', '-c', 'Cqn-120-5']",64202.23304325119,10.001,10676741.0,1067567.3432656734,446067.58648270345,2.393286075062235
2,exponential(10s),120,10,1s,1s,mt-np,6,"['../cqn_dbg', '-s', '-n..', '-u', 'Cmdenv', '-f', 'omnetpp.ini', '-f', 'partitioning.ini', '--real-time-limit=10s', '--**.numInitialJobs=2', '--**.serviceTime=exponential(10s)', '--*.numTandems=120', '--**.numQueues=10', '--**.qDelay=1s', '--**.sDelay=1s', '--multithreaded-parallel-simulation=true', '--parsim-communications-class=cNamedPipeCommunications', '-f', 'cqn-120-partitioning.ini', '-c', 'Cqn-120-6']",64391.29883506014,10.0026,10684251.0,1068147.381680763,446067.58648270345,2.3945864125731116
2,exponential(10s),120,10,1s,1s,mt-np,7,"['../cqn_dbg', '-s', '-n..', '-u', 'Cmdenv', '-f', 'omnetpp.ini', '-f', 'partitioning.ini', '--real-time-limit=10s', '--**.numInitialJobs=2', '--**.serviceTime=exponential(10s)', '--*.numTandems=120', '--**.numQueues=10', '--**.qDelay=1s', '--**.sDelay=1s', '--multithreaded-parallel-simulation=true', '--parsim-communications-class=cNamedPipeCommunications', '-f', 'cqn-120-partitioning.ini', '-c', 'Cqn-120-7']",67214.57887081373,10.0031,11164999.0,1116153.892293389,446067.58648270345,2.5022080198527683
